Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
267,Christopher Newport University,Newport News,VA,Public,5001,5081,29748,5737,41876,87200,72,,,,,cnu.edu,,,
597,Wichita State University,Wichita,KS,Public,12704,15075,29735,5793,32716,87300,94,1000,1275,20,27,www.wichita.edu,,,
237,Cedarville University,Cedarville,OH,Private,3666,3886,29588,14155,39194,87300,71,1130,1350,23,29,www.cedarville.edu,,,
633,Northern Kentucky University,Highland Heights,KY,Public,14141,14456,29520,8295,32136,87400,90,993,1210,20,26,www.nku.edu,,,
619,University of Texas at San Antonio,San Antonio,TX,Public,27880,30768,29416,8177,34484,87500,79,1030,1210,20,25,www.utsa.edu,,,
497,"University of Missouri, Saint Louis",St. Louis,MO,Public,16715,17095,29219,12471,40607,87500,76,1065,1225,22,27,www.umsl.edu,,,
591,Bowling Green State University,Bowling Green,OH,Public,16592,17357,29211,6542,32105,87500,73,990,1230,19,24,www.bgsu.edu,,,
500,"California State University, San Bernardino",San Bernardino,CA,Public,19244,20692,29184,9287,36127,87500,57,910,1090,16,21,www.csusb.edu,,,
431,University of Louisville,Louisville,KY,Public,18009,21402,29171,9589,41472,87600,75,1070,1290,22,28,louisville.edu,,,
516,Westminster College (PA),New Wilmington,PA,Private,1263,1289,29120,25476,49546,87700,72,990,1220,20,27,www.westminster.edu,,,
638,Wright State University,Dayton,OH,Public,14332,15957,29086,6546,32506,87800,97,980,1270,19,25,https://www.wright.edu,,,
610,University of Montana,Missoula,MT,Public,11671,11865,29032,5404,38356,87800,93,1060,1270,21,26,www.umt.edu,,,
493,University of South Dakota,Vermillion,SD,Public,9416,10261,28961,5145,25521,87900,87,1010,1230,20,25,www.usd.edu,,,
477,Oklahoma City University,Oklahoma City,OK,Private,1983,2845,28943,18588,45408,87900,72,1110,1280,23,28,www.okcu.edu,,,
562,Georgia Southern University,Statesboro,GA,Public,20314,20418,28768,6648,33646,88000,68,1100,1230,22,26,www.georgiasouthern.edu,,,
450,"SUNY, College at Oneonta",Oneonta,NY,Public,6150,6358,28540,7634,33812,88000,60,1040,1190,21,25,www.oneonta.edu/home/default.asp,,,
553,Immaculata University,Immaculata,PA,Private,1906,2481,28464,21301,45960,88100,83,950,1170,17,23,www.immaculata.edu,,,
624,Monmouth College,Monmouth,IL,Private,1033,1205,28423,27809,47970,88100,67,900,1090,20,25,www.monmouthcollege.edu,,,
345,Virginia Commonwealth University,Richmond,VA,Public,26355,30675,28366,9187,51204,88200,84,1070,1260,21,27,www.vcu.edu,,,
578,"Indiana University-Purdue University, Indianapolis",Indianapolis,IN,Public,25516,29791,28362,11347,43022,88200,80,995,1190,19,26,www.iupui.edu,,,
334,"University of Wisconsin, La Crosse",La Crosse,WI,Public,10480,10548,28331,2975,26055,88300,73,,,22,26,www.uwlax.edu,,,
467,Saint Vincent College,Latrobe,PA,Private,1720,1865,28327,25507,48879,88300,62,1020,1210,20,26,www.stvincent.edu,,,
463,Birmingham-Southern College,Birmingham,AL,Private,1283,1325,28322,26594,52414,88300,62,1030,1260,23,29,www.bsc.edu,,,
430,Eckerd College,St. Petersburg,FL,Private,2037,2200,28308,23182,59200,88400,73,1060,1260,23,29,www.eckerd.edu,,,
396,Augustana University,Sioux Falls,SD,Private,1743,2080,28285,21816,45458,88400,68,1070,1290,23,29,www.augie.edu,,,
596,Centenary College of Louisiana,Shreveport,LA,Private,501,588,28274,26633,53000,88400,62,1030,1210,22,28,www.centenary.edu,,,
322,Earlham College,Richmond,IN,Private,1072,1128,28240,36987,58670,88400,52,1190,1400,25,30,earlham.edu,,,
593,University of Mount Union,Alliance,OH,Private,2195,2257,28229,17954,42725,88500,81,980,1200,20,25,www.mountunion.edu,,,
209,Centre College,Danville,KY,Private,1443,1450,28222,26184,53910,88500,76,1170,1410,26,31,www.centre.edu,,,
488,Elmhurst College,Elmhurst,IL,Private,3122,3481,28095,21852,50000,88500,71,985,1210,20,26,https://www.elmhurst.edu,,,
622,Cleveland State University,Cleveland,OH,Public,14594,16371,28005,7096,30825,88600,90,990,1210,19,25,www.csuohio.edu,,,
496,Simpson College (IA),Indianola,IA,Private,1479,1695,27925,25683,50180,88600,84,1070,1220,21,27,simpson.edu,,,
253,College of Saint Benedict,St. Joseph,MN,Private,1937,2022,27898,28210,56880,88600,81,1010,1220,22,28,www.csbsju.edu,,,
479,Loyola University New Orleans,New Orleans,LA,Private,2766,3759,27875,27972,55402,88600,69,1080,1270,22,28,www.loyno.edu,,,
242,University of Central Florida,Orlando,FL,Public,65100,66059,27691,5757,38353,88600,50,1150,1320,24,29,www.ucf.edu,,,
346,St. Norbert College,De Pere,WI,Private,2162,2165,27597,20123,48110,88700,79,1110,1230,22,27,www.snc.edu,,,
359,Millsaps College,Jackson,MS,Private,859,871,27588,29468,55322,88700,49,1110,1320,22,28,www.millsaps.edu,,,
316,Whitworth University,Spokane,WA,Private,2342,2627,27578,26020,57824,88800,89,1090,1310,23,29,www.whitworth.edu,,,
510,Central College,Pella,IA,Private,1237,1433,27573,26389,50547,88800,70,950,1220,21,26,www.central.edu,,,
386,Augustana College,Rock Island,IL,Private,2591,2647,27563,27532,53422,88900,59,,,,,augustana.edu,,,
623,Humboldt State University,Arcata,CA,Public,8525,8602,27544,9038,36601,89000,82,960,1160,18,24,www.humboldt.edu,,,
384,St. Edward's University,Austin,TX,Private,4300,4447,27531,28957,58700,89100,84,1080,1250,22,28,www.stedwards.edu/contactus,,,
401,University of Mississippi,University,MS,Public,20940,23136,27508,9642,40086,89100,84,1070,1290,22,29,www.olemiss.edu,,,
288,Saint Mary's College (IN),Notre Dame,IN,Private,1637,1690,27435,25970,55200,89300,78,1030,1250,23,29,https://www.saintmarys.edu,,,
558,Benedictine University,Lisle,IL,Private,3731,5100,27410,18272,48016,89400,62,916,1100,19,25,www.ben.edu,,,
518,"University of Nebraska, Omaha",Omaha,NE,Public,14610,15731,27341,6485,34522,89500,87,840,1102,19,26,www.unomaha.edu,,,
398,George Fox University,Newberg,OR,Private,2821,4076,27331,17754,48902,89600,82,1050,1270,21,27,www.georgefox.edu,,,
324,Dordt University,Sioux Center,IA,Private,1533,1579,27267,16673,43800,89600,72,1050,1320,22,28,www.dordt.edu,,,
535,Ripon College,Ripon,WI,Private,756,813,27254,28951,52341,89600,68,1040,1260,20,26,www.ripon.edu,,,
394,Elizabethtown College,Elizabethtown,PA,Private,1735,1766,27200,27431,58490,89700,74,1070,1280,22,27,www.etown.edu,,,
365,Salisbury University,Salisbury,MD,Public,8714,8721,27151,5527,34102,89800,65,,,,,www.salisbury.edu,,,
480,Nova Southeastern University,Fort-Lauderdale-Davie,FL,Private,4840,20793,27137,19075,49149,89800,58,1080,1280,23,28,www.nova.edu,,,
523,Old Dominion University,Norfolk,VA,Public,22386,24375,27022,7270,43444,89900,86,980,1200,18,25,odu.edu,,,
537,Sam Houston State University,Huntsville,TX,Public,19784,20938,27004,8976,31784,89900,74,1000,1140,19,23,shsu.edu,,,
